"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Booking","Retrieve a Specific Booking by ID","0","0","1","0","0"
"","Booking","Update a specific booking by ID","0","0","1","0","0"
"","Booking","Partial Update of a specific booking by ID","0","0","1","0","0"
"","Booking","Test Invalid Total Price Value","1","0","0","0","0"
"","Booking","Create Booking with Missing Required Fields","0","0","1","0","0"
"","Booking","Delete a specific booking by ID","0","0","1","0","0"
"","Booking","Validate Creation of Booking","0","0","1","0","0"
"","Booking","Validate Update with Invalid Booking ID","0","0","1","0","0"
"","Booking","Validate Retrieving a Booking with Non-Existent ID","0","0","1","0","0"
"","Booking","Test Booking Dates Boundary","1","0","0","0","0"
